Id,Genotype,Milieu,Plate,PR_length,Tortuosity,RootArea,LR_length,Grouping,Plants/group,distanceFromHypocotyl,ShootArea,Chlorophyll
N2_16,sex1,Milieu_4,Plate_2,1.072,1.284,0.241,11,7,4,2.482,0.126,2.882
N2_17,sex1,Milieu_4,Plate_2,6.838,1.115,0.241,11,7,4,2.482,0.041,0.802
O1_1,sex1,Milieu_5,Plate_1,1.347,1.089,0.037,1,2,1,0.000,0.020,0.276
O1_2,sex1,Milieu_5,Plate_1,0.231,1.069,0.011,1,3,1,0.000,0.009,0.136
O1_3,sex1,Milieu_5,Plate_1,0.584,1.078,0.021,2,5,1,0.142,0.021,0.269
O1_4,sex1,Milieu_5,Plate_1,3.874,1.070,0.121,4,6,1,1.042,0.061,1.057
O1_5,sex1,Milieu_5,Plate_1,0.155,1.046,0.009,0,1,1,0.000,0.008,0.146
O1_6,sex1,Milieu_5,Plate_1,0.188,1.018,0.006,0,4,1,0.000,0.019,0.240
O1_7,sex1,Milieu_5,Plate_1,5.987,1.047,0.121,4,7,2,1.454,0.136,2.152
O1_8,sex1,Milieu_5,Plate_1,0.803,1.131,0.121,4,7,2,1.454,0.034,0.388
O1_9,sex1,Milieu_5,Plate_1,0.955,1.068,0.031,0,8,1,0.000,0.028,0.293
O1_10,sex1,Milieu_5,Plate_1,0.55,1.126,0.021,1,9,1,0.000,0.019,0.209
O1_11,sex1,Milieu_5,Plate_1,0.896,1.080,0.031,0,10,1,0.000,0.013,0.176
O1_12,sex1,Milieu_5,Plate_1,0.465,1.054,0.014,1,14,1,0.000,0.021,0.285
O1_13,sex1,Milieu_5,Plate_1,6.41,1.083,0.217,8,12,1,2.207,0.096,1.959
O1_14,sex1,Milieu_5,Plate_1,0.46,1.059,0.023,2,11,1,0.000,0.013,0.161
O1_15,sex1,Milieu_5,Plate_1,2.292,1.058,0.057,1,13,1,0.000,0.025,0.276
O1_16,sex1,Milieu_5,Plate_1,3.073,1.073,0.080,3,16,1,0.000,0.046,0.860
O1_17,sex1,Milieu_5,Plate_1,0.303,1.082,0.019,1,15,1,0.000,0.020,0.267
O2_1,sex1,Milieu_5,Plate_2,0.455,1.157,0.013,0,1,1,0.000,0.012,0.192
O2_2,sex1,Milieu_5,Plate_2,0.191,1.058,0.022,1,5,1,0.000,0.014,0.159
O2_3,sex1,Milieu_5,Plate_2,4.779,1.095,0.126,5,3,1,1.733,0.091,1.648
O2_4,sex1,Milieu_5,Plate_2,0.957,1.055,0.017,0,2,1,0.000,0.028,0.482
O2_5,sex1,Milieu_5,Plate_2,0.218,1.082,0.013,0,4,1,0.000,0.020,0.293
O2_6,sex1,Milieu_5,Plate_2,0.809,1.221,0.027,0,6,1,0.000,0.012,0.159
O2_7,sex1,Milieu_5,Plate_2,0.415,1.065,0.015,0,7,1,0.000,0.022,0.291
O2_8,sex1,Milieu_5,Plate_2,1.35,1.073,0.043,1,8,1,0.000,0.025,0.273
O2_9,sex1,Milieu_5,Plate_2,5.374,1.071,0.161,9,10,1,1.871,0.008,0.119
O2_10,sex1,Milieu_5,Plate_2,0.254,1.104,0.015,1,9,1,0.000,0.019,0.219
O2_11,sex1,Milieu_5,Plate_2,0.414,1.060,0.015,1,11,1,0.000,0.017,0.186
O2_12,sex1,Milieu_5,Plate_2,0.821,1.143,0.025,0,12,1,0.000,0.030,0.382
O2_13,sex1,Milieu_5,Plate_2,0.701,1.091,0.029,2,13,1,0.000,0.166,2.547
O2_14,sex1,Milieu_5,Plate_2,0.524,1.071,0.023,1,15,1,0.000,0.023,0.215
O2_15,sex1,Milieu_5,Plate_2,0.123,1.086,0.008,1,16,1,0.000,0.016,0.155
O2_16,sex1,Milieu_5,Plate_2,0.369,1.077,0.012,1,14,1,0.000,0.034,0.353
O2_17,sex1,Milieu_5,Plate_2,0.894,1.120,0.016,0,17,1,0.000,0.028,0.325
P1_1,pgm,Milieu_1,Plate_1,0.839,1.082,0.029,2,1,1,0.000,0.018,0.279
P1_2,pgm,Milieu_1,Plate_1,10.159,1.087,0.211,8.33,3,3,2.299,0.194,3.786
P1_3,pgm,Milieu_1,Plate_1,5.238,1.131,0.211,8.33,3,3,2.299,0.046,1.021
P1_4,pgm,Milieu_1,Plate_1,0.507,1.093,0.027,1,5,1,0.000,0.015,0.181
